馬券種類,馬1,馬2,馬3,確率,確率順位,key,３連単オッズ,オッズ順位,期待値,期待値順位
三連単,15,12,6,0.0083%,2672,15-12-6,267955.3,17,22.23566145,48
三連単,14,8,12,0.0196%,1474,14-8-12,113365.7,273,22.21978284,49
三連単,12,5,17,0.0100%,2412,12-5-17,221063.1,62,22.21650517,50
三連単,12,4,6,0.0094%,2499,12-4-6,232698,46,21.86770746,51
三連単,15,17,12,0.0103%,2382,15-17-12,210536.3,70,21.78736581,52
三連単,4,12,15,0.0202%,1423,4-12-15,107835.6,299,21.75041391,53
三連単,15,4,8,0.0534%,280,15-4-8,40376.8,856,21.56370612,54
三連単,12,8,10,0.0142%,1963,12-8-10,149873.3,178,21.32952807,55
三連単,12,9,15,0.0284%,938,12-9-15,74936.6,484,21.27989388,56
三連単,15,8,5,0.0493%,349,15-8-5,43134.2,805,21.24856649,57
三連単,12,15,17,0.0082%,2688,12-15-17,260074.3,21,21.23766508,58
三連単,15,3,12,0.0353%,669,15-3-12,60153.2,594,21.23081887,59
三連単,10,4,12,0.0100%,2415,10-4-12,210536.3,70,21.05146209,60
三連単,12,9,5,0.0428%,488,12-9-5,49125.1,710,21.00326183,61
三連単,12,3,10,0.0129%,2108,12-3-10,160773.2,153,20.72145282,62
三連単,15,1,12,0.0480%,373,15-1-12,42924.8,809,20.58745542,63
三連単,4,17,12,0.0112%,2290,4-17-12,184219.3,112,20.57078245,64
三連単,15,5,10,0.0355%,656,15-5-10,57794.2,613,20.53736193,65
三連単,12,8,4,0.0200%,1441,12-8-4,102820,324,20.52433846,66
三連単,12,7,8,0.0220%,1327,12-7-8,93079.2,376,20.47574235,67
三連単,12,14,6,0.0081%,2699,12-14-6,252643.6,27,20.47143368,68
三連単,10,5,12,0.0090%,2562,10-5-12,226731.4,55,20.4400562,69
三連単,8,14,12,0.0182%,1601,8-14-12,111930.7,281,20.42603474,70
三連単,8,9,12,0.0284%,939,8-9-12,71890.4,504,20.41087116,71
三連単,12,15,6,0.0069%,2886,12-15-6,294750.9,9,20.29227437,72
三連単,15,11,12,0.0269%,1013,15-11-12,74936.6,484,20.12681915,73
三連単,4,8,12,0.0421%,500,4-8-12,47797.4,733,20.10021294,74
三連単,12,8,11,0.0140%,1988,12-8-11,142621.4,189,19.96585694,75
三連単,12,4,5,0.0319%,805,12-4-5,62271.3,574,19.84659848,76
三連単,15,7,12,0.0445%,448,15-7-12,44434.8,783,19.75447364,77
三連単,12,7,14,0.0223%,1315,12-7-14,88425.2,397,19.73606916,78
三連単,12,5,6,0.0085%,2646,12-5-6,232698,46,19.71598111,79
三連単,12,4,9,0.0335%,742,12-4-9,58174.5,608,19.45977424,80
三連単,15,5,8,0.0482%,368,15-5-8,40193.3,860,19.35353536,81
三連単,4,8,10,0.0318%,809,4-8-10,60565.2,592,19.24274782,82
三連単,15,8,6,0.0145%,1927,15-8-6,131978,216,19.16998993,83
三連単,12,9,4,0.0358%,648,12-9-4,53268.2,663,19.09343257,84
三連単,4,12,14,0.0250%,1118,4-12-14,76228.6,474,19.02274012,85
三連単,15,8,7,0.0536%,279,15-8-7,35370.1,950,18.95942104,86
三連単,12,4,17,0.0111%,2293,12-4-17,170048.5,131,18.9547104,87
三連単,15,7,10,0.0336%,736,15-7-10,55613.3,637,18.6796376,88
三連単,10,14,12,0.0086%,2629,10-14-12,215671.3,66,18.59417813,89
三連単,15,6,12,0.0069%,2880,15-6-12,267955.3,17,18.54158271,90
三連単,12,9,7,0.0465%,403,12-9-7,38953.8,885,18.12232956,91
三連単,12,14,9,0.0288%,920,12-14-9,61835.8,577,17.83505591,92
三連単,12,9,14,0.0351%,675,12-9-14,50528.7,700,17.75265701,93
三連単,14,5,12,0.0237%,1219,14-5-12,74936.6,484,17.72582808,94
三連単,12,8,1,0.0247%,1135,12-8-1,71310.7,508,17.64889896,95
三連単,4,9,12,0.0755%,88,4-9-12,23331.2,1240,17.61805184,96
三連単,12,5,8,0.0233%,1245,12-5-8,74936.6,484,17.44020634,97
三連単,15,8,4,0.0413%,514,15-8-4,42107.2,820,17.38989433,98
三連単,15,14,10,0.0340%,719,15-14-10,51112.8,692,17.37017876,99
三連単,4,5,12,0.0508%,323,4-5-12,34009.7,978,17.26050899,100
三連単,8,12,15,0.0076%,2772,8-12-15,226731.4,55,17.19439387,101
三連単,12,7,17,0.0095%,2481,12-7-17,180459.7,115,17.14230023,102
三連単,12,14,10,0.0164%,1762,12-14-10,104029.7,316,17.08767399,103
三連単,12,10,5,0.0066%,2959,12-10-5,260074.3,21,17.06719316,104
三連単,12,14,17,0.0096%,2465,12-14-17,176850.5,121,16.99730209,105
三連単,4,12,6,0.0090%,2572,4-12-6,188138.8,103,16.84628004,106
三連単,14,12,10,0.0085%,2649,14-12-10,196500.6,87,16.62405335,107
三連単,15,12,1,0.0293%,904,15-12-1,56682.8,622,16.58175841,108
